pubkey,totalproposalscreated,communitypropcreatorpassed,depositedvotes,councildepositedvotes,unstakedvotes,firstparticipationdate,lastparticipationdate,totalvotes,totalvotesfor,totalvotesagainst,totalproposalparticipation,totalproposalsfor,totalproposalsagainst,totalcouncilproposalscreated,councilpropcreatorpassed,totalcouncilvotes,totalcouncilvotesfor,totalcouncilvotesagainst,rewards,alltimerewards
8UeKyzmVEFCyyQ4nTpeQH128W2n5AQriMynYQGyCWcbm,0,0,1106,0,3105,null,null,0,0,0,0,0,0,0,0,0,0,0,0,260
7ygba6zZNjeDt2PipjaM8m86CsE3YBXeT6zQEW9LdpLK,0,0,0,0,0,null,null,0,0,0,0,0,0,0,0,0,0,0,0,1720
9n2zVy9XfNYCK93jbM2C5BubJ9h1dMftTZFcgsAH8Urn,0,0,1106,0,3155,null,null,0,0,0,0,0,0,0,0,0,0,0,0,310
2DRZFjaKVBfq966o1MLe2AnNkyvhwN8r3uGdhnxTktUR,0,0,87511,0,11620,null,null,0,0,0,0,0,0,0,0,0,0,0,0,7060
GwgEND5VQdy8PpeUyzXp8riQBXkQTyDUHNDTzWH64jR9,0,0,48,0,0,null,null,0,0,0,0,0,0,0,0,0,0,0,0,0
CCftgaVphVAx9r5TGvyKiRTjMkHPJU58x22bnQ9gLoov,0,0,58,0,0,null,null,0,0,0,0,0,0,0,0,0,0,0,0,55
tD5cbD1CbF1yPkg5vSEAgY65K9HZBuSWhaXM74k6NMQ,0,0,0,0,0,null,null,0,0,0,0,0,0,0,0,0,0,0,0,51871.394693
J4yKFnSdfgeDwLJ7u8N9R5NK4sDryVPmbXL2wJci8wbZ,0,0,16,0,270,null,null,0,0,0,0,0,0,0,0,0,0,0,0,270
Fywb7YDCXxtD7pNKThJ36CAtVe23dEeEPf7HqKzJs1VG,0,0,33334,0,0,1684576822,1687130916,366674,133336,233338,11,4,7,0,0,0,0,0,12129,198871.499976
34Wmv58UF8HUmjdcWdCZVU9o7h8N5h2fTozqRwh9mucM,0,0,71503,0,31210,null,null,0,0,0,0,0,0,0,0,0,0,0,0,3405
