pubkey,Totalrewards,proposalcreation,voting,callparticipation,raffle,totalproposalparticipation,communitypropcreatorpassed,depositedvotes,alltimerewards,baseline,elgible,councildepositedvotes,unstakedvotes,firstparticipationdate,lastparticipationdate,totalvotes,totalvotesfor,totalvotesagainst,totalcouncilproposalscreated,councilpropcreatorpassed,totalcouncilvotes,totalcouncilvotesagainst,rewards
6ZwXFkoKYevnYbdq9LfB9kvAjkHmo4kZrGrY7ofNyikf,0,,,,,0,0,0,10575,7402.5,FALSE,0,0,null,null,0,0,0,0,0,0,0,0
9odBX3hiSVBG8VYacAPEhqTjVY3aCCpkFz2RiFaRA3uR,0,,,,,0,0,0,61461,43022.7,FALSE,0,0,null,null,0,0,0,0,0,0,0,0
PzHMB8WqPHZJ2hxHGx1nqiLrVrsf9DkGa3RwVYvzWHt,0,,,,,0,0,0,35552,24886.4,FALSE,0,0,null,null,0,0,0,0,0,0,0,0
8hbNNbHfmMLao1TMBuwdrFz4zZZfAnvHGB9DofWpu9FF,0,,,,,0,0,0,6619.312501,,,0,0,null,null,0,0,0,0,0,0,0,0
tD5cbD1CbF1yPkg5vSEAgY65K9HZBuSWhaXM74k6NMQ,0,,,,,0,0,0,51871.394693,,,0,0,null,null,0,0,0,0,0,0,0,0
727MvuZATPGnd83H87a2MCubzv2DniHnertC4jxKFeDX,0,,,,,0,0,0,25294.82,,,0,148306,null,null,0,0,0,0,0,0,0,0
4NH36qXE39t8ovfdfrT9pdpJYouJ5tYah9qajuHQQqoB,0,,,,,0,0,0,2090,,,0,0,null,null,0,0,0,0,0,0,0,0
6piefzGypBT52uysb42shtBcCUgyV8uBtseopjQNrjFA,0,,,,,0,0,0,5430,,,0,0,null,null,0,0,0,0,0,0,0,0
2yCQZVCn9tvKMPWie6Cw6xzMfW7rHLAEYis9FNRpjhKp,0,,,,,0,0,0,0,,,0,0,null,null,0,0,0,0,0,0,0,0
B3D8Wywdr4ncQWjGg93Uy1VfgXsLVuXawEdhrJWCg7WT,0,,,,,0,0,0,67680.286709,,,0,4,null,null,0,0,0,0,0,0,0,0
D1etH3Mtd5nC11kqHodDgUyyrJsyRZXta66gatn5WzFr,0,,,,,0,0,0,21195,,,0,0,null,null,0,0,0,0,0,0,0,0
4oKNmVbaK1eW4AbMYwxT3HtzcF9ygczVGicU2j3VzW6S,0,,,,,0,0,0,0,,,0,0,null,null,0,0,0,0,0,0,0,0
3eRpxbaTWx8vS2qKhC4h2aYQXPBzxcG6cFf8xrNdck64,0,,,,,0,0,0,0,,,0,0,null,null,0,0,0,0,0,0,0,0
48vHv57HUz9kMuCfAugobB5reQfFaWKMAzngYmmWeTgE,0,,,,,0,0,0,14380,,,0,101154,null,null,0,0,0,0,0,0,0,0
MAZt9R5E8BywXCDJXs6jz31dcntasEGJ4LQ1QtdDH13,0,,,,,0,0,0,17630,,,0,0,null,null,0,0,0,0,0,0,0,0
6VHKRsV67Hx6zUWdQs8FVNFW7Qb2SBsEd6jqMRD5UVGf,0,,,,,0,0,5752,2105,,,0,0,null,null,0,0,0,0,0,0,0,0
Dn7KxU39JYhJ2uD8gTmuNN3mKhypzJvG4EqiU6gfPMsY,0,,,,,0,0,0,2785,,,0,0,null,null,0,0,0,0,0,0,0,0
GHButkeFdeLvY1LbvvFJjGj2LbUoFRw1ALpJ4n4dSQtq,0,,,,,0,0,0,6480,,,0,0,null,null,0,0,0,0,0,0,0,0
8PqQYJDvsow3UGydnnNuwSoPBuJ2QGxT4DrwvRuAyLxJ,0,,,,,0,0,0,5405,,,0,0,null,null,0,0,0,0,0,0,0,0
2DRZFjaKVBfq966o1MLe2AnNkyvhwN8r3uGdhnxTktUR,0,,,,,0,0,87511,7060,,,0,11620,null,null,0,0,0,0,0,0,0,0
GQFSF6rj3vBrSEaa9C5nhSnfqyh2MBMrdqkRATAoieV2,0,,,,,0,0,0,225,,,0,2010,null,null,0,0,0,0,0,0,0,0
2YxHRtQJ914rQkxqyFYC1VxfpJWMZHLqc7SAMPVjipRv,0,,,,,0,0,0,1100,,,0,0,null,null,0,0,0,0,0,0,0,0
8djD77wbxqJCCesESU7EgPJsk4tq7KGDi5EQgXon6H49,0,,,,,0,0,0,8455,,,0,0,null,null,0,0,0,0,0,0,0,0
VVHYnG3fb96YQeZCf7a4nTNr22dX8VveUZqENbuHwAi,0,,,,,0,0,0,17847.3125,,,0,0,null,null,0,0,0,0,0,0,0,0
2iwXAgFi7z1VVzudXT8r3qHVH9xaJKXr2Pi5kThMpdgm,0,,,,,0,0,0,41292.500002,,,0,0,null,null,0,0,0,0,0,0,0,0
HYd49gtdF2gRiHDsaHoMpgSm71yFp7ECE5k7S6P7i87C,0,,,,,0,0,0,225,,,0,2173,null,null,0,0,0,0,0,0,0,0
ABcLyuh9ufZaDy5REzpsZK7bQFbX5kjAmaV8uHgrM22x,0,,,,,0,0,0,13475,,,0,0,null,null,0,0,0,0,0,0,0,0
4SwCmGSQWMZRdtZec2QVGxup48AFDotAhymEux5Ks2gi,0,,,,,0,0,0,0,,,0,0,null,null,0,0,0,0,0,0,0,0
939AAWDfv2wTpR4qiSU59tyXYV12TrYr8jaxfaQWmydb,0,,,,,0,0,0,7764,,,0,0,null,null,0,0,0,0,0,0,0,0
Fp9ULSKHYm2bR6AUZvZGdXWcWsB7iynaUS9ipr5K1MbF,0,,,,,0,0,0,0,,,0,0,null,null,0,0,0,0,0,0,0,0
85KeLnZn4za1G6SZdfxyTQ5zSUgxB5uNwPyAoA1yVCy3,0,,,,,0,0,34530,10330,,,0,0,null,null,0,0,0,0,0,0,0,0
5cpg72CPjpLWy5rwEhhr8KgyPHLUts82WZ1iLoCd4xBg,0,,,,,0,0,0,110,,,0,0,null,null,0,0,0,0,0,0,0,0
9K33ctJs72mwWjWPD8ZJ52gYhx27HVnwxKE54c2aCrmo,0,,,,,0,0,0,0,,,0,21189,null,null,0,0,0,0,0,0,0,0
2xRMvUtr88hLcLkFD1vfSADkQW92S3JxFF2vuV5pVGLr,0,,,,,0,0,0,1280,,,0,1359,null,null,0,0,0,0,0,0,0,0
vQ9M3TbssHuxynha2VNCpinQG1qqhj9DB6hNb7Vmupi,0,,,,,0,0,0,4330,,,0,0,null,null,0,0,0,0,0,0,0,0
9N78qUJMtbJE5739uVuQYtoBR4CR68MDwtpLBFWrCHo4,0,,,,,0,0,0,1100,,,0,0,null,null,0,0,0,0,0,0,0,0
6MNXh4179HKZd1D2pKGgsdLjwQhifap2VLCaMHXj4KiH,0,,,,,0,0,61586,33929.5,,,0,0,null,null,0,0,0,0,0,0,0,0
DmLoxafqPoEcenVtwHVzejZePHzvDroSDSC6FsGCn5ok,0,,,,,0,0,57639,6049,,,0,0,null,null,0,0,0,0,0,0,0,0
96Rv5skcWhTmwW1XaGn6DiKv51hnZHgK82oiYHQG5mxF,0,,,,,0,0,0,110,,,0,0,null,null,0,0,0,0,0,0,0,0
CFjge9uufEyF8Tz1kz9mvAL8VnxWJBXQv81JH599WtuF,0,,,,,0,0,0,0,,,0,34,null,null,0,0,0,0,0,0,0,0
